 1.38000000e+00 -5.00990855e-05 
 1.40000000e+00 -5.01098664e-05 
 1.42000000e+00 -5.01205732e-05 
 1.44000000e+00 -5.01312084e-05 
 1.46000000e+00 -5.01417742e-05 
 1.48000000e+00 -5.01522726e-05 
 1.50000000e+00 -5.01627054e-05 
 1.52000000e+00 -5.01730745e-05 
 1.54000000e+00 -5.01833815e-05 
 1.56000000e+00 -5.01936278e-05 
 1.58000000e+00 -5.02038149e-05 
 1.60000000e+00 -5.02139442e-05 
 1.62000000e+00 -5.02240168e-05 
 1.64000000e+00 -5.02340339e-05 
 1.66000000e+00 -5.02439965e-05 
 1.68000000e+00 -5.02539055e-05 
 1.70000000e+00 -5.02637618e-05 
 1.72000000e+00 -5.02735662e-05 
 1.74000000e+00 -5.02833196e-05 
 1.76000000e+00 -5.02930221e-05 
 1.78000000e+00 -5.03026746e-05 
 1.80000000e+00 -5.03122772e-05 
 1.82000000e+00 -5.03218301e-05 
 1.84000000e+00 -5.03313331e-05 
 1.86000000e+00 -5.03407857e-05 
 1.88000000e+00 -5.03501873e-05 
 1.90000000e+00 -5.03595363e-05 
 1.92000000e+00 -5.03688306e-05 
 1.94000000e+00 -5.03780677e-05 
 1.96000000e+00 -5.03872432e-05 
 1.98000000e+00 -5.03963520e-05 
 2.00000000e+00 -5.04053865e-05 
 2.02000000e+00 -5.04143373e-05 
 2.04000000e+00 -5.04231918e-05 
 2.06000000e+00 -5.04319335e-05 
 2.08000000e+00 -5.04405419e-05 
 2.10000000e+00 -5.04489905e-05 
 2.12000000e+00 -5.04572461e-05 
 2.14000000e+00 -5.04652683e-05 
 2.16000000e+00 -5.04730079e-05 
 2.18000000e+00 -5.04804068e-05 
 2.20000000e+00 -5.04873987e-05 
 2.22000000e+00 -5.04939107e-05 
 2.24000000e+00 -5.04998666e-05 
 2.26000000e+00 -5.05051937e-05 
 2.28000000e+00 -5.05098310e-05 
 2.30000000e+00 -5.05137417e-05 
 2.32000000e+00 -5.05169283e-05 
 2.34000000e+00 -5.05194430e-05 
 2.36000000e+00 -5.05213864e-05 
